images ,Labels ,Root,Leaf,Flower ,seed,Fruit,Stem,gonorrhea,wound,Eye disease,Anti-cancer,Anti-Oxidant,abdominal pain,Lung disease,common Cold,Snakebite,stomachache,influenza
absh_35,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_36,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_37,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_38,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_39,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_40,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_41,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_42,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_43,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_44,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_45,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_46,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_47,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_48,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_49,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_51,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_52,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_53,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_54,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_55,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_56,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_57,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_58,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_59,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_60,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_61,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_62,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_63,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_64,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_65,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_66,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_67,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_68,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_69,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_70,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_71,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_72,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_73,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_74,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_75,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_76,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_77,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_78,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_79,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_80,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_81,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_82,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_83,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_84,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_85,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_86,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_87,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_88,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_89,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_90,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_91,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_92,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_93,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_94,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_95,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_96,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_97,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_98,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_99,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_100,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_101,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_102,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_103,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_104,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_105,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_106,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_107,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_108,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_109,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_110,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_111,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_112,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_113,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_114,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_115,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_116,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_117,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_118,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_119,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_120,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_121,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_122,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_123,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_124,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_125,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_126,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_127,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_128,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_129,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_130,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_131,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_132,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_133,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_134,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_135,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_136,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_137,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_138,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_139,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_140,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_141,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_142,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_143,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_144,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_145,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_146,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_147,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_148,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_149,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_150,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_151,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_152,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_153,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_154,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_155,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_156,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_157,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_158,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_159,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_160,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_161,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_162,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_163,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_164,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_165,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_166,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_167,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_168,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_169,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_170,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_171,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_172,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_173,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_174,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_175,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_176,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_177,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_178,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_179,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_180,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_181,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_182,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_183,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_184,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_185,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_186,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_187,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_188,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_189,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_190,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_191,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_192,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_193,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_194,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_195,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_196,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_197,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_198,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_199,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_200,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_201,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_202,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_203,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_204,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_205,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_206,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_207,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_208,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_209,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_210,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_211,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_212,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_213,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_214,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_215,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_216,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_217,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_218,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_219,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_220,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_221,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_222,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_223,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_224,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_225,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_226,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_227,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_228,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_229,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_230,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_231,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_232,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_233,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_234,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_235,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_236,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_237,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_238,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_239,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_240,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_241,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_242,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_243,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_244,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_245,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_246,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_247,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_248,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_249,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_250,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
